Barcode number,Company,Brand,Manufacturer,Rating,Category,Criticism,Praise,Category names
,,Bueno,,D,126,"Plastic pollution, Deforestation in Africa, 31.2% in Forest 500 Rankings, D grade in Keep Forests Standing report, Exploitative purchasing practices, Tier 5 in farm animal welfare rankings","3/5 for packaging performance, Palm oil rating - WAZA, Palm oil scorecard - WWF, 12/20 in Social Benchmark",Chocolate
,,Chocolatier,,?,126,none,none,Chocolate
,,Cadbury Dairy Milk,,F,126,"Palm oil sourcing, Delaying action on plastic pollution, F grade in Keep Forests Standing report, Plastic pollution, Tier 6 in farm animal welfare rankings, Palm oil from illegal sources, Deforestation in Africa, Supply chain practices in China, 34.5% in Forest 500 Rankings, Palm oil sourcing, Palm oil rating - WAZA, Chocolate scorecard, 23/100 in KnowTheChain Benchmark, 7/27 in pesticides scorecard, Exploitative purchasing practices, Tax avoidance, Fined for wheat price manipulation, CEO Pay Ratio of 502:1, Fined for anti-competitive behaviour","4/5 for packaging performance, CDP Climate Change score of A-, CDP Forests score of B-, 100% on Corporate Equality Index, Access to Nutrition rating, 13.5/20 in Social Benchmark, 70.1/100 in Newsweek rankings, 74/100 S&P Global ESG Score, 42.4% in Food and Agriculture Benchmark, 30.7% in Nature Benchmark",Chocolate
,,Raffaello,,D,126,"Plastic pollution, Deforestation in Africa, 31.2% in Forest 500 Rankings, D grade in Keep Forests Standing report, Exploitative purchasing practices, Tier 5 in farm animal welfare rankings","3/5 for packaging performance, Palm oil rating - WAZA, Palm oil scorecard - WWF, 12/20 in Social Benchmark",Chocolate
,,Dream,,F,126,"Palm oil sourcing, Delaying action on plastic pollution, F grade in Keep Forests Standing report, Plastic pollution, Tier 6 in farm animal welfare rankings, Palm oil from illegal sources, Deforestation in Africa, Supply chain practices in China, 34.5% in Forest 500 Rankings, Palm oil sourcing, Palm oil rating - WAZA, Chocolate scorecard, 23/100 in KnowTheChain Benchmark, 7/27 in pesticides scorecard, Exploitative purchasing practices, Tax avoidance, Fined for wheat price manipulation, CEO Pay Ratio of 502:1, Fined for anti-competitive behaviour","4/5 for packaging performance, CDP Climate Change score of A-, CDP Forests score of B-, 100% on Corporate Equality Index, Access to Nutrition rating, 13.5/20 in Social Benchmark, 70.1/100 in Newsweek rankings, 74/100 S&P Global ESG Score, 42.4% in Food and Agriculture Benchmark, 30.7% in Nature Benchmark",Chocolate
,,Hershey's,,C,126,"Palm oil sourcing, F grade in Plastic Promises Scorecard, Palm oil from illegal sources, Palm oil sourcing, Supply chain practices in China, Deforestation in Africa, Exploitative purchasing practices, Tier 5 in farm animal welfare rankings, CEO Pay Ratio of 342:1","Palm oil scorecard - WWF, 15/20 in Social Benchmark, CDP Climate Change score of B, CDP Forests score of B, Palm oil rating - WAZA, CDP Water Security score of B-, 38.5% in Human Rights Benchmark, 100% on Corporate Equality Index, 44.8% in Gender Benchmark, 70/100 S&P Global ESG Score, JUST Capital ranking, 41.2% in Food and Agriculture Benchmark, 35.9% in Nature Benchmark",Chocolate
,,Reese's,,C,126,"Palm oil sourcing, F grade in Plastic Promises Scorecard, Palm oil from illegal sources, Palm oil sourcing, Supply chain practices in China, Deforestation in Africa, Exploitative purchasing practices, Tier 5 in farm animal welfare rankings, CEO Pay Ratio of 342:1","Palm oil scorecard - WWF, 15/20 in Social Benchmark, CDP Climate Change score of B, CDP Forests score of B, Palm oil rating - WAZA, CDP Water Security score of B-, 38.5% in Human Rights Benchmark, 100% on Corporate Equality Index, 44.8% in Gender Benchmark, 70/100 S&P Global ESG Score, JUST Capital ranking, 41.2% in Food and Agriculture Benchmark, 35.9% in Nature Benchmark",Chocolate
,,Darrell Lea,,B,126,none,"100% sustainable cocoa, 3/5 for packaging performance",Chocolate
,,Haigh's,,B,126,none,"4/5 for packaging performance, Rainforest Alliance certified products",Chocolate
,,Bubbly,,F,126,"Palm oil sourcing, Delaying action on plastic pollution, F grade in Keep Forests Standing report, Plastic pollution, Tier 6 in farm animal welfare rankings, Palm oil from illegal sources, Deforestation in Africa, Supply chain practices in China, 34.5% in Forest 500 Rankings, Palm oil sourcing, Palm oil rating - WAZA, Chocolate scorecard, 23/100 in KnowTheChain Benchmark, 7/27 in pesticides scorecard, Exploitative purchasing practices, Tax avoidance, Fined for wheat price manipulation, CEO Pay Ratio of 502:1, Fined for anti-competitive behaviour","4/5 for packaging performance, CDP Climate Change score of A-, CDP Forests score of B-, 100% on Corporate Equality Index, Access to Nutrition rating, 13.5/20 in Social Benchmark, 70.1/100 in Newsweek rankings, 74/100 S&P Global ESG Score, 42.4% in Food and Agriculture Benchmark, 30.7% in Nature Benchmark",Chocolate
,,Old Gold,,F,126,"Palm oil sourcing, Delaying action on plastic pollution, F grade in Keep Forests Standing report, Plastic pollution, Tier 6 in farm animal welfare rankings, Palm oil from illegal sources, Deforestation in Africa, Supply chain practices in China, 34.5% in Forest 500 Rankings, Palm oil sourcing, Palm oil rating - WAZA, Chocolate scorecard, 23/100 in KnowTheChain Benchmark, 7/27 in pesticides scorecard, Exploitative purchasing practices, Tax avoidance, Fined for wheat price manipulation, CEO Pay Ratio of 502:1, Fined for anti-competitive behaviour","4/5 for packaging performance, CDP Climate Change score of A-, CDP Forests score of B-, 100% on Corporate Equality Index, Access to Nutrition rating, 13.5/20 in Social Benchmark, 70.1/100 in Newsweek rankings, 74/100 S&P Global ESG Score, 42.4% in Food and Agriculture Benchmark, 30.7% in Nature Benchmark",Chocolate
,,Patons,,?,126,none,none,Chocolate
,,Gran's,,?,126,none,none,Chocolate
,,Marvelous Creations,,F,126,"Palm oil sourcing, Delaying action on plastic pollution, F grade in Keep Forests Standing report, Plastic pollution, Tier 6 in farm animal welfare rankings, Palm oil from illegal sources, Deforestation in Africa, Supply chain practices in China, 34.5% in Forest 500 Rankings, Palm oil sourcing, Palm oil rating - WAZA, Chocolate scorecard, 23/100 in KnowTheChain Benchmark, 7/27 in pesticides scorecard, Exploitative purchasing practices, Tax avoidance, Fined for wheat price manipulation, CEO Pay Ratio of 502:1, Fined for anti-competitive behaviour","4/5 for packaging performance, CDP Climate Change score of A-, CDP Forests score of B-, 100% on Corporate Equality Index, Access to Nutrition rating, 13.5/20 in Social Benchmark, 70.1/100 in Newsweek rankings, 74/100 S&P Global ESG Score, 42.4% in Food and Agriculture Benchmark, 30.7% in Nature Benchmark",Chocolate
,,Minstrels,,C,126,"Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Animal Testing, Tier 6 in farm animal welfare rankings, Supply chain practices in China, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, 6/27 in pesticides scorecard, Exploitative purchasing practices, 7.5/20 in Social Benchmark","4/5 for packaging performance, Renewable energy use, Modern Slavery disclosure quality, CDP Climate Change score of A-, Palm oil rating - WAZA, Palm oil scorecard - WWF, CDP Water Security score of A-, CDP Forests score of B, 61.5% in Forest 500 Rankings, Green Power Partner, Access to Nutrition rating, 100% on Corporate Equality Index",Chocolate
,,Whitman's,,F,126,"14/100 in KnowTheChain Benchmark, CDP Climate Change score of D, CDP Forests score of D, Deforestation in Africa, 30% in Forest 500 Rankings, Chocolate scorecard, 15.6% in Gender Benchmark, Exploitative purchasing practices, 22/100 S&P Global ESG Score","Palm oil rating - WAZA, 11.5/20 in Social Benchmark",Chocolate
,,Pink Lady,,D,126,Palm oil rating - WAZA,none,Chocolate
,,Pana Organic,,B,126,none,Exclusively organic products,Chocolate
,,Loving Earth,,A,126,none,"5/5 for packaging performance, Mostly organic products",Chocolate
,,Teasers,,C,126,"Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Animal Testing, Tier 6 in farm animal welfare rankings, Supply chain practices in China, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, 6/27 in pesticides scorecard, Exploitative purchasing practices, 7.5/20 in Social Benchmark","4/5 for packaging performance, Renewable energy use, Modern Slavery disclosure quality, CDP Climate Change score of A-, Palm oil rating - WAZA, Palm oil scorecard - WWF, CDP Water Security score of A-, CDP Forests score of B, 61.5% in Forest 500 Rankings, Green Power Partner, Access to Nutrition rating, 100% on Corporate Equality Index",Chocolate
,,Alter Eco,,B,126,none,"Exclusively organic products, Exclusively Fairtrade, GM-Free brands, Certified B Corporation",Chocolate
,,Choceur,,D,126,"4.5/10 in Deforestation Scorecard, High free range stocking densities, Poverty wages in Bangladesh, Worker exploitation, 21.4% in Forest 500 Rankings, Unsustainable palm oil use, 13/100 in What Fuels Fashion?, Tier 4 in farm animal welfare rankings","4/5 for packaging performance, Renewable energy use, COVID Fashion Commitments, Banksia Sustainability Award 2020, Palm oil rating - WAZA, Palm oil scorecard - WWF, International Accord signatory, Ethical Trading Initiative member, 10.5/20 in Social Benchmark",Chocolate
,,Coco,,F,126,"Palm oil sourcing, Delaying action on plastic pollution, F grade in Keep Forests Standing report, Plastic pollution, Tier 6 in farm animal welfare rankings, Palm oil from illegal sources, Deforestation in Africa, Supply chain practices in China, 34.5% in Forest 500 Rankings, Palm oil sourcing, Palm oil rating - WAZA, Chocolate scorecard, 23/100 in KnowTheChain Benchmark, 7/27 in pesticides scorecard, Exploitative purchasing practices, Tax avoidance, Fined for wheat price manipulation, CEO Pay Ratio of 502:1, Fined for anti-competitive behaviour","4/5 for packaging performance, CDP Climate Change score of A-, CDP Forests score of B-, 100% on Corporate Equality Index, Access to Nutrition rating, 13.5/20 in Social Benchmark, 70.1/100 in Newsweek rankings, 74/100 S&P Global ESG Score, 42.4% in Food and Agriculture Benchmark, 30.7% in Nature Benchmark",Chocolate
,,Godiva,,D,126,Chocolate scorecard,none,Chocolate
,,Milk Duds,,C,126,"Palm oil sourcing, F grade in Plastic Promises Scorecard, Palm oil from illegal sources, Palm oil sourcing, Supply chain practices in China, Deforestation in Africa, Exploitative purchasing practices, Tier 5 in farm animal welfare rankings, CEO Pay Ratio of 342:1","Palm oil scorecard - WWF, 15/20 in Social Benchmark, CDP Climate Change score of B, CDP Forests score of B, Palm oil rating - WAZA, CDP Water Security score of B-, 38.5% in Human Rights Benchmark, 100% on Corporate Equality Index, 44.8% in Gender Benchmark, 70/100 S&P Global ESG Score, JUST Capital ranking, 41.2% in Food and Agriculture Benchmark, 35.9% in Nature Benchmark",Chocolate
,,Milka,,F,126,"Palm oil sourcing, Delaying action on plastic pollution, F grade in Keep Forests Standing report, Plastic pollution, Tier 6 in farm animal welfare rankings, Palm oil from illegal sources, Deforestation in Africa, Supply chain practices in China, 34.5% in Forest 500 Rankings, Palm oil sourcing, Palm oil rating - WAZA, Chocolate scorecard, 23/100 in KnowTheChain Benchmark, 7/27 in pesticides scorecard, Exploitative purchasing practices, Tax avoidance, Fined for wheat price manipulation, CEO Pay Ratio of 502:1, Fined for anti-competitive behaviour","4/5 for packaging performance, CDP Climate Change score of A-, CDP Forests score of B-, 100% on Corporate Equality Index, Access to Nutrition rating, 13.5/20 in Social Benchmark, 70.1/100 in Newsweek rankings, 74/100 S&P Global ESG Score, 42.4% in Food and Agriculture Benchmark, 30.7% in Nature Benchmark",Chocolate
,,Polly Waffle,,C,126,Palm oil rating - WAZA,3/5 for packaging performance,Chocolate
,,Well Naturally,,B,126,none,3/5 for packaging performance,Chocolate
,,Moser Roth,,D,126,"4.5/10 in Deforestation Scorecard, High free range stocking densities, Poverty wages in Bangladesh, Worker exploitation, 21.4% in Forest 500 Rankings, Unsustainable palm oil use, 13/100 in What Fuels Fashion?, Tier 4 in farm animal welfare rankings","4/5 for packaging performance, Renewable energy use, COVID Fashion Commitments, Banksia Sustainability Award 2020, Palm oil rating - WAZA, Palm oil scorecard - WWF, International Accord signatory, Ethical Trading Initiative member, 10.5/20 in Social Benchmark",Chocolate
,,Dairy Fine,,D,126,"4.5/10 in Deforestation Scorecard, High free range stocking densities, Poverty wages in Bangladesh, Worker exploitation, 21.4% in Forest 500 Rankings, Unsustainable palm oil use, 13/100 in What Fuels Fashion?, Tier 4 in farm animal welfare rankings","4/5 for packaging performance, Renewable energy use, COVID Fashion Commitments, Banksia Sustainability Award 2020, Palm oil rating - WAZA, Palm oil scorecard - WWF, International Accord signatory, Ethical Trading Initiative member, 10.5/20 in Social Benchmark",Chocolate
,,Heritage Fine Chocolates,,B,126,none,"100% sustainable cocoa, 3/5 for packaging performance",Chocolate
,,Pico,,C,126,Palm oil rating - WAZA,4/5 for packaging performance,Chocolate
,,Koko Black,,?,126,none,none,Chocolate
,,Yowie,,?,126,none,none,Chocolate
,,Decor,,C,127,"Owned by two companies, one of which has criticisms, Involvement in gambling",3/5 for packaging performance,Food Storage Containers
,,Smash,,?,127,none,none,Food Storage Containers
,,Nude Food Movers,,?,127,none,none,Food Storage Containers
,,Sistema,,F,127,"32.8% in conflict minerals rankings, CDP Climate Change score of D, D grade in Plastic Promises Scorecard, 22/100 S&P Global ESG Score, CEO Pay Ratio of 274:1, JUST Capital ranking","Toitu carbonreduce certified, 85.1/100 in Newsweek rankings, 100% on Corporate Equality Index",Food Storage Containers
,,Tupperware,,F,127,"F grade in Plastic Promises Scorecard, 18/100 S&P Global ESG Score, $900k accounting failure settlement",72.2/100 in Newsweek rankings,Food Storage Containers
,,ABC,,B,129,none,4/5 for packaging performance,Toilet Paper (Commercial)
,,Earthwise,,B,129,none,"3/5 for packaging performance, FSC certification",Toilet Paper (Commercial)
,,Earthcare,,B,129,none,4/5 for packaging performance,Toilet Paper (Commercial)
,,Merino,,B,129,none,"3/5 for packaging performance, FSC certification",Toilet Paper (Commercial)
,,Style,,B,129,none,4/5 for packaging performance,Toilet Paper (Commercial)
,,Tork,,C,129,"Forest destruction, Golden Chainsaw Award, 34% in Forest 500 Rankings, Palm oil rating - WAZA","4/5 for packaging performance, CDP Climate Change score of A-, CDP Forests score of A, 11.5/20 in Social Benchmark, 75/100 S&P Global ESG Score, Global 100",Toilet Paper (Commercial)
,,Kleenex,,D,129,"Misleading claims, 36.5% in Forest 500 Rankings, Palm oil rating - WAZA, Supply chain practices in China, D+ grade in Plastic Promises Scorecard, D grade for tissue sourcing, 49.3% in conflict minerals rankings, $20m flushable wipe settlement in USA, CEO Pay Ratio of 341:1, 29/100 S&P Global ESG Score","4/5 for packaging performance, 84.4/100 in Newsweek rankings, CDP Climate Change score of B, CDP Forests score of B, Green Power Partner, CDP Water Security score of B, JUST Capital ranking",Toilet Paper (Commercial)
,,Scott,,D,129,"Misleading claims, 36.5% in Forest 500 Rankings, Palm oil rating - WAZA, Supply chain practices in China, D+ grade in Plastic Promises Scorecard, D grade for tissue sourcing, 49.3% in conflict minerals rankings, $20m flushable wipe settlement in USA, CEO Pay Ratio of 341:1, 29/100 S&P Global ESG Score","4/5 for packaging performance, 84.4/100 in Newsweek rankings, CDP Climate Change score of B, CDP Forests score of B, Green Power Partner, CDP Water Security score of B, JUST Capital ranking",Toilet Paper (Commercial)
,,Livi,,F,129,"F grade for tissue sourcing, Affiliate of Asia Pulp & Paper",none,Toilet Paper (Commercial)
,,Caprice,,?,129,none,none,Toilet Paper (Commercial)
,,Caprice Green,,?,129,none,none,Toilet Paper (Commercial)
,,Sorbent Professional,,F,129,"F grade for tissue sourcing, Affiliate of Asia Pulp & Paper",none,Toilet Paper (Commercial)
,,Airheads,,F,130,"Supply chain practices in China, F grade in Plastic Promises Scorecard, 8.8% in Food and Agriculture Benchmark, 6.9% in Nature Benchmark, Plastic pollution, 5/20 in Social Benchmark",Palm oil rating - WAZA,Sweets & Lollies
,,Allens,,F,130,"Irresponsible marketing, Nanoparticles in baby formula, Boycott call for infant formula, Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Slave labour in Brazil, Control of water in North America, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, ""Net zero"" greenwash, Palm oil sourcing, Promotion of bottled water, 7/27 in pesticides scorecard, Illegal baby food trials in India, Exploitative purchasing practices, 21.2% in BMS Marketing Index, Tier 5 in farm animal welfare rankings, Nanoparticles in baby formula, 39/100 S&P Global ESG Score","100% UTZ Certified cocoa, 4/5 for packaging performance, Modern Slavery disclosure quality, CDP Climate Change score of A-, Climate policy engagement, Access to Nutrition rating, 15/20 in Social Benchmark, 65.6% in Food and Agriculture Benchmark, 54.1% in Nature Benchmark, CDP Forests score of B, 66.5% in Forest 500 Rankings, Palm oil rating - WAZA, CDP Water Security score of B, 34.3% in Human Rights Benchmark, 40.4% in Gender Benchmark",Sweets & Lollies
,,Alpenliebe,,F,130,"Supply chain practices in China, F grade in Plastic Promises Scorecard, 8.8% in Food and Agriculture Benchmark, 6.9% in Nature Benchmark, Plastic pollution, 5/20 in Social Benchmark",Palm oil rating - WAZA,Sweets & Lollies
,,Bellis,,B,130,none,Palm oil rating - WAZA,Sweets & Lollies
,,Campino,,F,130,"Chocolate scorecard, Palm oil rating - WAZA",none,Sweets & Lollies
,,Double D,,?,130,none,none,Sweets & Lollies
,,Fruit Tingles,,F,130,"Irresponsible marketing, Nanoparticles in baby formula, Boycott call for infant formula, Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Slave labour in Brazil, Control of water in North America, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, ""Net zero"" greenwash, Palm oil sourcing, Promotion of bottled water, 7/27 in pesticides scorecard, Illegal baby food trials in India, Exploitative purchasing practices, 21.2% in BMS Marketing Index, Tier 5 in farm animal welfare rankings, Nanoparticles in baby formula, 39/100 S&P Global ESG Score","100% UTZ Certified cocoa, 4/5 for packaging performance, Modern Slavery disclosure quality, CDP Climate Change score of A-, Climate policy engagement, Access to Nutrition rating, 15/20 in Social Benchmark, 65.6% in Food and Agriculture Benchmark, 54.1% in Nature Benchmark, CDP Forests score of B, 66.5% in Forest 500 Rankings, Palm oil rating - WAZA, CDP Water Security score of B, 34.3% in Human Rights Benchmark, 40.4% in Gender Benchmark",Sweets & Lollies
,,Kenman,,C,130,"Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Animal Testing, Tier 6 in farm animal welfare rankings, Supply chain practices in China, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, 6/27 in pesticides scorecard, Exploitative purchasing practices, 7.5/20 in Social Benchmark","4/5 for packaging performance, Renewable energy use, Modern Slavery disclosure quality, CDP Climate Change score of A-, Palm oil rating - WAZA, Palm oil scorecard - WWF, CDP Water Security score of A-, CDP Forests score of B, 61.5% in Forest 500 Rankings, Green Power Partner, Access to Nutrition rating, 100% on Corporate Equality Index",Sweets & Lollies
,,Life Savers,,B,130,none,"100% sustainable cocoa, 3/5 for packaging performance",Sweets & Lollies
,,Meller,,F,130,"Supply chain practices in China, F grade in Plastic Promises Scorecard, 8.8% in Food and Agriculture Benchmark, 6.9% in Nature Benchmark, Plastic pollution, 5/20 in Social Benchmark",Palm oil rating - WAZA,Sweets & Lollies
,,Menz,,C,130,Palm oil rating - WAZA,3/5 for packaging performance,Sweets & Lollies
,,Minties,,F,130,"Irresponsible marketing, Nanoparticles in baby formula, Boycott call for infant formula, Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Slave labour in Brazil, Control of water in North America, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, ""Net zero"" greenwash, Palm oil sourcing, Promotion of bottled water, 7/27 in pesticides scorecard, Illegal baby food trials in India, Exploitative purchasing practices, 21.2% in BMS Marketing Index, Tier 5 in farm animal welfare rankings, Nanoparticles in baby formula, 39/100 S&P Global ESG Score","100% UTZ Certified cocoa, 4/5 for packaging performance, Modern Slavery disclosure quality, CDP Climate Change score of A-, Climate policy engagement, Access to Nutrition rating, 15/20 in Social Benchmark, 65.6% in Food and Agriculture Benchmark, 54.1% in Nature Benchmark, CDP Forests score of B, 66.5% in Forest 500 Rankings, Palm oil rating - WAZA, CDP Water Security score of B, 34.3% in Human Rights Benchmark, 40.4% in Gender Benchmark",Sweets & Lollies
,,Nestle,,F,130,"Irresponsible marketing, Nanoparticles in baby formula, Boycott call for infant formula, Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Slave labour in Brazil, Control of water in North America, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, ""Net zero"" greenwash, Palm oil sourcing, Promotion of bottled water, 7/27 in pesticides scorecard, Illegal baby food trials in India, Exploitative purchasing practices, 21.2% in BMS Marketing Index, Tier 5 in farm animal welfare rankings, Nanoparticles in baby formula, 39/100 S&P Global ESG Score","100% UTZ Certified cocoa, 4/5 for packaging performance, Modern Slavery disclosure quality, CDP Climate Change score of A-, Climate policy engagement, Access to Nutrition rating, 15/20 in Social Benchmark, 65.6% in Food and Agriculture Benchmark, 54.1% in Nature Benchmark, CDP Forests score of B, 66.5% in Forest 500 Rankings, Palm oil rating - WAZA, CDP Water Security score of B, 34.3% in Human Rights Benchmark, 40.4% in Gender Benchmark",Sweets & Lollies
,,Pascall,,F,130,"Palm oil sourcing, Delaying action on plastic pollution, F grade in Keep Forests Standing report, Plastic pollution, Tier 6 in farm animal welfare rankings, Palm oil from illegal sources, Deforestation in Africa, Supply chain practices in China, 34.5% in Forest 500 Rankings, Palm oil sourcing, Palm oil rating - WAZA, Chocolate scorecard, 23/100 in KnowTheChain Benchmark, 7/27 in pesticides scorecard, Exploitative purchasing practices, Tax avoidance, Fined for wheat price manipulation, CEO Pay Ratio of 502:1, Fined for anti-competitive behaviour","4/5 for packaging performance, CDP Climate Change score of A-, CDP Forests score of B-, 100% on Corporate Equality Index, Access to Nutrition rating, 13.5/20 in Social Benchmark, 70.1/100 in Newsweek rankings, 74/100 S&P Global ESG Score, 42.4% in Food and Agriculture Benchmark, 30.7% in Nature Benchmark",Sweets & Lollies
,,Ricci,,B,130,none,"100% sustainable cocoa, 3/5 for packaging performance",Sweets & Lollies
,,Skittles,,C,130,"Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Animal Testing, Tier 6 in farm animal welfare rankings, Supply chain practices in China, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, 6/27 in pesticides scorecard, Exploitative purchasing practices, 7.5/20 in Social Benchmark","4/5 for packaging performance, Renewable energy use, Modern Slavery disclosure quality, CDP Climate Change score of A-, Palm oil rating - WAZA, Palm oil scorecard - WWF, CDP Water Security score of A-, CDP Forests score of B, 61.5% in Forest 500 Rankings, Green Power Partner, Access to Nutrition rating, 100% on Corporate Equality Index",Sweets & Lollies
,,Starburst,,C,130,"Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Animal Testing, Tier 6 in farm animal welfare rankings, Supply chain practices in China, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, 6/27 in pesticides scorecard, Exploitative purchasing practices, 7.5/20 in Social Benchmark","4/5 for packaging performance, Renewable energy use, Modern Slavery disclosure quality, CDP Climate Change score of A-, Palm oil rating - WAZA, Palm oil scorecard - WWF, CDP Water Security score of A-, CDP Forests score of B, 61.5% in Forest 500 Rankings, Green Power Partner, Access to Nutrition rating, 100% on Corporate Equality Index",Sweets & Lollies
,,The Natural Confectionery Co.,,F,130,"Palm oil sourcing, Delaying action on plastic pollution, F grade in Keep Forests Standing report, Plastic pollution, Tier 6 in farm animal welfare rankings, Palm oil from illegal sources, Deforestation in Africa, Supply chain practices in China, 34.5% in Forest 500 Rankings, Palm oil sourcing, Palm oil rating - WAZA, Chocolate scorecard, 23/100 in KnowTheChain Benchmark, 7/27 in pesticides scorecard, Exploitative purchasing practices, Tax avoidance, Fined for wheat price manipulation, CEO Pay Ratio of 502:1, Fined for anti-competitive behaviour","4/5 for packaging performance, CDP Climate Change score of A-, CDP Forests score of B-, 100% on Corporate Equality Index, Access to Nutrition rating, 13.5/20 in Social Benchmark, 70.1/100 in Newsweek rankings, 74/100 S&P Global ESG Score, 42.4% in Food and Agriculture Benchmark, 30.7% in Nature Benchmark",Sweets & Lollies
,,Werther's Original,,F,130,"Chocolate scorecard, Palm oil rating - WAZA",none,Sweets & Lollies
,,Zeros,,F,130,"Chocolate scorecard, Palm oil rating - WAZA",none,Sweets & Lollies
,,Chupa Chups,,F,130,"Supply chain practices in China, F grade in Plastic Promises Scorecard, 8.8% in Food and Agriculture Benchmark, 6.9% in Nature Benchmark, Plastic pollution, 5/20 in Social Benchmark",Palm oil rating - WAZA,Sweets & Lollies
,,Wonka,,F,130,"Irresponsible marketing, Nanoparticles in baby formula, Boycott call for infant formula, Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Slave labour in Brazil, Control of water in North America, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, ""Net zero"" greenwash, Palm oil sourcing, Promotion of bottled water, 7/27 in pesticides scorecard, Illegal baby food trials in India, Exploitative purchasing practices, 21.2% in BMS Marketing Index, Tier 5 in farm animal welfare rankings, Nanoparticles in baby formula, 39/100 S&P Global ESG Score","100% UTZ Certified cocoa, 4/5 for packaging performance, Modern Slavery disclosure quality, CDP Climate Change score of A-, Climate policy engagement, Access to Nutrition rating, 15/20 in Social Benchmark, 65.6% in Food and Agriculture Benchmark, 54.1% in Nature Benchmark, CDP Forests score of B, 66.5% in Forest 500 Rankings, Palm oil rating - WAZA, CDP Water Security score of B, 34.3% in Human Rights Benchmark, 40.4% in Gender Benchmark",Sweets & Lollies
,,Wizz Fizz,,D,130,Palm oil rating - WAZA,none,Sweets & Lollies
,,Fyna,,D,130,Palm oil rating - WAZA,none,Sweets & Lollies
,,Fads,,D,130,Palm oil rating - WAZA,none,Sweets & Lollies
,,Big Boss,,D,130,Palm oil rating - WAZA,none,Sweets & Lollies
,,Warheads,,?,130,none,none,Sweets & Lollies
,,Beacon,,?,130,none,none,Sweets & Lollies
,,Buderim Ginger,,B,130,none,3/5 for packaging performance,Sweets & Lollies
,,Pez,,?,130,none,none,Sweets & Lollies
,,Groovy,,?,130,none,none,Sweets & Lollies
,,X-treme,,?,130,none,none,Sweets & Lollies
,,Fizzer,,?,130,none,none,Sweets & Lollies
,,Dollar Sweets,,C,130,Palm oil rating - WAZA,4/5 for packaging performance,Sweets & Lollies
,,Betta,,D,130,Palm oil rating - WAZA,none,Sweets & Lollies
,,Capricorn,,D,130,Palm oil rating - WAZA,none,Sweets & Lollies
,,Jelly Belly,,F,130,"Plastic pollution, Deforestation in Africa, 31.2% in Forest 500 Rankings, D grade in Keep Forests Standing report, Exploitative purchasing practices, Tier 5 in farm animal welfare rankings","Palm oil rating - WAZA, Palm oil scorecard - WWF, 12/20 in Social Benchmark",Sweets & Lollies
,,WOW,,D,130,Palm oil rating - WAZA,none,Sweets & Lollies
,,Prydes,,D,130,Palm oil rating - WAZA,none,Sweets & Lollies
,,Darrell Lea,,B,130,none,"100% sustainable cocoa, 3/5 for packaging performance",Sweets & Lollies
,,Gran's,,?,130,none,none,Sweets & Lollies
,,Mentos,,F,130,"Supply chain practices in China, F grade in Plastic Promises Scorecard, 8.8% in Food and Agriculture Benchmark, 6.9% in Nature Benchmark, Plastic pollution, 5/20 in Social Benchmark",Palm oil rating - WAZA,Sweets & Lollies
,,Allsep's,,B,130,none,5/5 for packaging performance,Sweets & Lollies
,,Haribo,,C,130,Cruelty to humans and animals,"4/5 for packaging performance, Palm oil rating - WAZA",Sweets & Lollies
,,Lolliland,,B,130,none,5/5 for packaging performance,Sweets & Lollies
